operation,rust_n,py_n,rust_mean_ms,py_mean_ms,rust_p50_ms,py_p50_ms,rust_p95_ms,py_p95_ms,rust_successes,py_successes,pvalue_mwu,effect_r
create,251,251,5.60104,12.469712,5.4195,11.033,9.57415,28.452299999999987,250,250,6.098042331530023e-34,-0.5431547932120471
delete,112,51,263.67742000000004,10.504719999999999,244.535,6.4895,422.58469999999994,26.84859999999999,100,50,2.172254270994724e-23,0.8137884587711595
read_all,279,354,484.43036800000004,20.93480285714286,486.7655,21.3575,679.34025,33.58435,250,350,5.484520799946066e-97,0.853201858285422
read_one,112,0,287.47041,,280.3405,,425.7765,,100,0,,
update,101,101,2.9024100000000006,8.22965,2.9495,5.515000000000001,4.6767,25.83985,100,100,6.880483178495077e-17,-0.5904540688848596
