Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//api/create,70,0,1300.0,1457.0833314285535,207.33350000045903,3736.5090000002965,0.0,8.970429273805058,0.0,1400,1800,1800,2100,2700,2900,3300,3700,3700,3700,3700
DELETE,//api/delete/1e54b974-01af-400e-8ef6-fe08d726565d,1,0,2007.452200001353,2007.452200001353,2007.452200001353,2007.452200001353,0.0,0.12814898962578655,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
DELETE,//api/delete/2ee82c2b-5b7b-40f0-b26f-ce6b8a854274,1,0,1403.9253000009921,1403.9253000009921,1403.9253000009921,1403.9253000009921,0.0,0.12814898962578655,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
DELETE,//api/delete/50f6177e-8a0c-40bc-bfa5-94e5a4d166ef,1,0,1209.6735000013723,1209.6735000013723,1209.6735000013723,1209.6735000013723,0.0,0.12814898962578655,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
DELETE,//api/delete/59999585-7289-4a53-a06f-633386d8d9a6,1,0,1276.7361999995046,1276.7361999995046,1276.7361999995046,1276.7361999995046,0.0,0.12814898962578655,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
DELETE,//api/delete/6147bf63-d438-4157-af4b-f00a22429670,1,0,1326.161700000739,1326.161700000739,1326.161700000739,1326.161700000739,0.0,0.12814898962578655,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
DELETE,//api/delete/73e9849c-1529-4d15-992a-e4e04a1d5055,1,0,1214.346700000533,1214.346700000533,1214.346700000533,1214.346700000533,0.0,0.12814898962578655,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
DELETE,//api/delete/7c93a5ed-772c-44ea-ba81-94c2fb2199a3,1,0,1441.0763000014413,1441.0763000014413,1441.0763000014413,1441.0763000014413,0.0,0.12814898962578655,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
DELETE,//api/delete/86f039f3-9ff9-4ba0-92b4-5334df530d85,1,0,1491.1480999999185,1491.1480999999185,1491.1480999999185,1491.1480999999185,0.0,0.12814898962578655,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
DELETE,//api/delete/f861dc73-eac4-4cc2-81c3-1694bac5e4c3,1,0,1366.3639999995212,1366.3639999995212,1366.3639999995212,1366.3639999995212,0.0,0.12814898962578655,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,//api/read,57,0,1100.0,1137.444884210517,290.2507999988302,3004.6741999994993,181841.35087719298,7.304492408669833,0.0,1100,1300,1700,1700,2100,2300,2600,3000,3000,3000,3000
GET,//api/read/11d650ba-978b-41fa-ac8a-e92740a4e2a4,1,0,890.6194000010146,890.6194000010146,890.6194000010146,890.6194000010146,132.0,0.12814898962578655,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,//api/read/42290c99-73a3-47bd-8eb2-1e0a0f1c76c4,1,0,1924.3566999994073,1924.3566999994073,1924.3566999994073,1924.3566999994073,129.0,0.12814898962578655,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,//api/read/4e347fdb-1665-4756-a48f-4b242b746558,1,0,1304.526399999304,1304.526399999304,1304.526399999304,1304.526399999304,132.0,0.12814898962578655,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,//api/read/52915745-de20-4661-99ea-ec5ac96c344f,1,0,1857.7768000013748,1857.7768000013748,1857.7768000013748,1857.7768000013748,132.0,0.12814898962578655,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,//api/read/73e9849c-1529-4d15-992a-e4e04a1d5055,1,0,619.3922999991628,619.3922999991628,619.3922999991628,619.3922999991628,132.0,0.12814898962578655,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,//api/read/bb60e7bd-cf5e-4dee-a0db-3f9376e4d776,2,0,1300.0,1810.925650000172,1296.272300000055,2325.579000000289,132.0,0.2562979792515731,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,//api/read/d762e736-2dcb-44d6-bea7-9689e735714d,1,0,1782.9351000000315,1782.9351000000315,1782.9351000000315,1782.9351000000315,132.0,0.12814898962578655,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,//api/read/d97d4e75-0c84-4c95-867a-9c7fa02a40bc,1,0,1548.7819999998464,1548.7819999998464,1548.7819999998464,1548.7819999998464,129.0,0.12814898962578655,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,//api/read/f306d89b-96d3-4476-8f32-a82d3e10d5ae,1,0,858.4569999984524,858.4569999984524,858.4569999984524,858.4569999984524,132.0,0.12814898962578655,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,//api/read/fb560156-8817-4efd-9b23-07d9cd341026,2,0,940.0,1000.7174000011219,935.9407000010833,1065.4941000011604,132.0,0.2562979792515731,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
PUT,//api/update/11d650ba-978b-41fa-ac8a-e92740a4e2a4,1,0,1260.38779999908,1260.38779999908,1260.38779999908,1260.38779999908,0.0,0.12814898962578655,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,//api/update/42290c99-73a3-47bd-8eb2-1e0a0f1c76c4,1,0,719.5585000008577,719.5585000008577,719.5585000008577,719.5585000008577,0.0,0.12814898962578655,0.0,720,720,720,720,720,720,720,720,720,720,720
PUT,//api/update/7c93a5ed-772c-44ea-ba81-94c2fb2199a3,1,0,511.3853000002564,511.3853000002564,511.3853000002564,511.3853000002564,0.0,0.12814898962578655,0.0,510,510,510,510,510,510,510,510,510,510,510
PUT,//api/update/d97d4e75-0c84-4c95-867a-9c7fa02a40bc,1,0,975.4701999991084,975.4701999991084,975.4701999991084,975.4701999991084,0.0,0.12814898962578655,0.0,980,980,980,980,980,980,980,980,980,980,980
,Aggregated,152,0,1300.0,1312.1316394737114,207.33350000045903,3736.5090000002965,68200.88815789473,19.478646423119557,0.0,1300,1500,1800,1800,2200,2700,3000,3300,3700,3700,3700
