Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//api/create,101,0,2400.0,2233.3427920791587,226.51300000143237,4096.397699999216,0.0,12.751210428966822,0.0,2400,2700,2800,2800,3400,3500,3900,4100,4100,4100,4100
DELETE,//api/delete/1953bd61-f561-4392-8bbe-2d31a520f0cd,1,0,1856.4228999985062,1856.4228999985062,1856.4228999985062,1856.4228999985062,0.0,0.1262496082075923,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
DELETE,//api/delete/53e78a92-d92f-47c2-a7dd-c9a114a78f34,1,0,1407.5927000012598,1407.5927000012598,1407.5927000012598,1407.5927000012598,0.0,0.1262496082075923,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
DELETE,//api/delete/7948c9e3-f81c-4729-8114-bc41a7277b6c,1,0,2295.1465000005555,2295.1465000005555,2295.1465000005555,2295.1465000005555,0.0,0.1262496082075923,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,//api/read,46,0,1900.0,1997.685163043412,896.5896999998222,3757.0283000004565,192805.73913043478,5.807481977549245,0.0,1900,2300,2600,2900,3100,3300,3800,3800,3800,3800,3800
GET,//api/read/c647a5fe-7465-4950-9110-a8025beae12b,1,0,2224.67080000024,2224.67080000024,2224.67080000024,2224.67080000024,132.0,0.1262496082075923,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,//api/read/f82a5523-c39b-419f-a757-fc9eb6c4615d,1,0,2196.28720000037,2196.28720000037,2196.28720000037,2196.28720000037,132.0,0.1262496082075923,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,152,0,2200.0,2154.2188131578478,226.51300000143237,4096.397699999216,58350.84210526316,19.18994044755403,0.0,2200,2700,2700,2800,3300,3500,3800,4100,4100,4100,4100
