Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//read/629,1,0,19.53999999932421,19.53999999932421,19.53999999932421,19.53999999932421,108.0,0.12412362906451008,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,//read/631,1,0,5.062799998995615,5.062799998995615,5.062799998995615,5.062799998995615,111.0,0.12412362906451008,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,//read/632,2,0,69,87.8306500007966,68.5514000015246,107.10990000006859,111.0,0.24824725812902015,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,//read/634,1,0,6.164200000057463,6.164200000057463,6.164200000057463,6.164200000057463,108.0,0.12412362906451008,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,//read/642,1,0,6.196099999215221,6.196099999215221,6.196099999215221,6.196099999215221,108.0,0.12412362906451008,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,//read/644,1,0,7.764899999529007,7.764899999529007,7.764899999529007,7.764899999529007,103.0,0.12412362906451008,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,//read/647,1,0,9.732400001666974,9.732400001666974,9.732400001666974,9.732400001666974,108.0,0.12412362906451008,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,//read/650,1,0,21.44880000014382,21.44880000014382,21.44880000014382,21.44880000014382,111.0,0.12412362906451008,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,//read/657,1,0,50.19510000056471,50.19510000056471,50.19510000056471,50.19510000056471,111.0,0.12412362906451008,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,//read/659,1,0,5.32779999957711,5.32779999957711,5.32779999957711,5.32779999957711,111.0,0.12412362906451008,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,//update/584,1,0,11.875299998791888,11.875299998791888,11.875299998791888,11.875299998791888,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,//update/586,2,0,13,15.54645000032906,12.957299999470706,18.135600001187413,45.0,0.24824725812902015,0.0,18,18,18,18,18,18,18,18,18,18,18
PUT,//update/590,1,0,12.521200000264798,12.521200000264798,12.521200000264798,12.521200000264798,45.0,0.12412362906451008,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,//update/593,3,0,68,53.02719999963301,12.048499998854822,79.09669999935431,45.0,0.37237088719353023,0.0,68,68,79,79,79,79,79,79,79,79,79
PUT,//update/594,1,0,12.876700000560959,12.876700000560959,12.876700000560959,12.876700000560959,45.0,0.12412362906451008,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,//update/602,1,0,27.793799999926705,27.793799999926705,27.793799999926705,27.793799999926705,45.0,0.12412362906451008,0.0,28,28,28,28,28,28,28,28,28,28,28
PUT,//update/604,1,0,10.883699998885277,10.883699998885277,10.883699998885277,10.883699998885277,45.0,0.12412362906451008,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,//update/606,1,0,11.91099999959988,11.91099999959988,11.91099999959988,11.91099999959988,45.0,0.12412362906451008,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,//update/615,2,0,10,16.508499999872583,9.863899998890702,23.153100000854465,45.0,0.24824725812902015,0.0,23,23,23,23,23,23,23,23,23,23,23
PUT,//update/621,1,0,100.27160000026925,100.27160000026925,100.27160000026925,100.27160000026925,45.0,0.12412362906451008,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,//update/623,1,0,16.75990000148886,16.75990000148886,16.75990000148886,16.75990000148886,45.0,0.12412362906451008,0.0,17,17,17,17,17,17,17,17,17,17,17
PUT,//update/627,1,0,24.754900001425995,24.754900001425995,24.754900001425995,24.754900001425995,45.0,0.12412362906451008,0.0,25,25,25,25,25,25,25,25,25,25,25
PUT,//update/628,1,0,10.864100000617327,10.864100000617327,10.864100000617327,10.864100000617327,45.0,0.12412362906451008,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,//update/629,2,0,15,22.392849999960163,14.670399999886286,30.11530000003404,45.0,0.24824725812902015,0.0,30,30,30,30,30,30,30,30,30,30,30
PUT,//update/634,1,0,8.910399999876972,8.910399999876972,8.910399999876972,8.910399999876972,45.0,0.12412362906451008,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,//update/640,1,0,12.907000000268454,12.907000000268454,12.907000000268454,12.907000000268454,45.0,0.12412362906451008,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,//update/642,1,0,257.06279999940307,257.06279999940307,257.06279999940307,257.06279999940307,45.0,0.12412362906451008,0.0,260,260,260,260,260,260,260,260,260,260,260
PUT,//update/647,1,0,66.96870000087074,66.96870000087074,66.96870000087074,66.96870000087074,45.0,0.12412362906451008,0.0,67,67,67,67,67,67,67,67,67,67,67
,Aggregated,268,0,15,30.561085447780936,5.062799998995615,257.06279999940307,23974.417910447763,33.2651325892887,0.0,15,25,33,40,74,110,140,180,260,260,260
