Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//create,182,0,39,112.60865109889582,7.4438999999983935,909.1838999993342,45.0,22.748296984373784,0.0,40,110,160,190,270,400,670,760,910,910,910
DELETE,//delete/377,1,0,23.119200001019635,23.119200001019635,23.119200001019635,23.119200001019635,45.0,0.12499064277128454,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,//delete/379,1,0,16.150700001162477,16.150700001162477,16.150700001162477,16.150700001162477,45.0,0.12499064277128454,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,//delete/380,1,0,12.938599998960854,12.938599998960854,12.938599998960854,12.938599998960854,45.0,0.12499064277128454,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,//delete/382,1,0,47.83139999926789,47.83139999926789,47.83139999926789,47.83139999926789,45.0,0.12499064277128454,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,//delete/383,1,0,22.657600000457023,22.657600000457023,22.657600000457023,22.657600000457023,45.0,0.12499064277128454,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,//delete/390,1,0,14.784500001042034,14.784500001042034,14.784500001042034,14.784500001042034,45.0,0.12499064277128454,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,//delete/391,1,0,19.74259999951755,19.74259999951755,19.74259999951755,19.74259999951755,45.0,0.12499064277128454,0.0,20,20,20,20,20,20,20,20,20,20,20
DELETE,//delete/392,1,0,94.2773999995552,94.2773999995552,94.2773999995552,94.2773999995552,45.0,0.12499064277128454,0.0,94,94,94,94,94,94,94,94,94,94,94
DELETE,//delete/393,1,0,14.33300000098825,14.33300000098825,14.33300000098825,14.33300000098825,45.0,0.12499064277128454,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,//delete/396,1,0,13.122000000294065,13.122000000294065,13.122000000294065,13.122000000294065,45.0,0.12499064277128454,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,//delete/397,1,0,13.5178000000451,13.5178000000451,13.5178000000451,13.5178000000451,45.0,0.12499064277128454,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,//delete/399,1,0,9.73590000103286,9.73590000103286,9.73590000103286,9.73590000103286,45.0,0.12499064277128454,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,//delete/402,1,0,349.4403999993665,349.4403999993665,349.4403999993665,349.4403999993665,45.0,0.12499064277128454,0.0,350,350,350,350,350,350,350,350,350,350,350
DELETE,//delete/403,1,0,75.09190000018862,75.09190000018862,75.09190000018862,75.09190000018862,45.0,0.12499064277128454,0.0,75,75,75,75,75,75,75,75,75,75,75
DELETE,//delete/405,1,0,41.432699999859324,41.432699999859324,41.432699999859324,41.432699999859324,45.0,0.12499064277128454,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,//delete/406,1,0,262.391000000207,262.391000000207,262.391000000207,262.391000000207,45.0,0.12499064277128454,0.0,260,260,260,260,260,260,260,260,260,260,260
DELETE,//delete/407,1,0,18.997299999682582,18.997299999682582,18.997299999682582,18.997299999682582,45.0,0.12499064277128454,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,//delete/411,1,0,11.10069999958796,11.10069999958796,11.10069999958796,11.10069999958796,45.0,0.12499064277128454,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/412,1,0,10.91180000003078,10.91180000003078,10.91180000003078,10.91180000003078,45.0,0.12499064277128454,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/413,1,0,11.619299999438226,11.619299999438226,11.619299999438226,11.619299999438226,45.0,0.12499064277128454,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/420,1,0,195.4822999996395,195.4822999996395,195.4822999996395,195.4822999996395,45.0,0.12499064277128454,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,//delete/422,1,0,110.03079999863985,110.03079999863985,110.03079999863985,110.03079999863985,45.0,0.12499064277128454,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,//delete/426,1,0,19.47660000041651,19.47660000041651,19.47660000041651,19.47660000041651,45.0,0.12499064277128454,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,//delete/429,1,0,14.709400000356254,14.709400000356254,14.709400000356254,14.709400000356254,45.0,0.12499064277128454,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,//delete/430,1,0,154.8426000008476,154.8426000008476,154.8426000008476,154.8426000008476,45.0,0.12499064277128454,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,//delete/431,1,0,13.758799999777693,13.758799999777693,13.758799999777693,13.758799999777693,45.0,0.12499064277128454,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,//delete/433,1,0,39.281800000026124,39.281800000026124,39.281800000026124,39.281800000026124,45.0,0.12499064277128454,0.0,39,39,39,39,39,39,39,39,39,39,39
DELETE,//delete/434,1,0,12.326599999141763,12.326599999141763,12.326599999141763,12.326599999141763,45.0,0.12499064277128454,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,//delete/439,1,0,16.151100000570295,16.151100000570295,16.151100000570295,16.151100000570295,45.0,0.12499064277128454,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,//delete/442,1,0,32.94810000079451,32.94810000079451,32.94810000079451,32.94810000079451,45.0,0.12499064277128454,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,//delete/444,1,0,18.923499999800697,18.923499999800697,18.923499999800697,18.923499999800697,45.0,0.12499064277128454,0.0,19,19,19,19,19,19,19,19,19,19,19
DELETE,//delete/448,1,0,135.25809999919147,135.25809999919147,135.25809999919147,135.25809999919147,45.0,0.12499064277128454,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,//delete/449,1,0,119.22730000151205,119.22730000151205,119.22730000151205,119.22730000151205,45.0,0.12499064277128454,0.0,120,120,120,120,120,120,120,120,120,120,120
DELETE,//delete/455,1,0,261.1981999998534,261.1981999998534,261.1981999998534,261.1981999998534,45.0,0.12499064277128454,0.0,260,260,260,260,260,260,260,260,260,260,260
DELETE,//delete/456,1,0,93.28800000002957,93.28800000002957,93.28800000002957,93.28800000002957,45.0,0.12499064277128454,0.0,93,93,93,93,93,93,93,93,93,93,93
DELETE,//delete/471,1,0,265.13490000070306,265.13490000070306,265.13490000070306,265.13490000070306,45.0,0.12499064277128454,0.0,270,270,270,270,270,270,270,270,270,270,270
DELETE,//delete/476,1,0,41.262799999458366,41.262799999458366,41.262799999458366,41.262799999458366,45.0,0.12499064277128454,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,//delete/479,1,0,73.37829999960377,73.37829999960377,73.37829999960377,73.37829999960377,45.0,0.12499064277128454,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,//delete/480,1,0,14.331000000311178,14.331000000311178,14.331000000311178,14.331000000311178,45.0,0.12499064277128454,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,//delete/486,1,0,14.789099999688915,14.789099999688915,14.789099999688915,14.789099999688915,45.0,0.12499064277128454,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,//delete/492,1,0,10.625799999615992,10.625799999615992,10.625799999615992,10.625799999615992,45.0,0.12499064277128454,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/501,1,0,10.33129999996163,10.33129999996163,10.33129999996163,10.33129999996163,45.0,0.12499064277128454,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,//delete/503,1,0,12.925200000609038,12.925200000609038,12.925200000609038,12.925200000609038,45.0,0.12499064277128454,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,//read,243,0,14,23.30505967081451,6.946100000277511,138.5934999998426,43434.8353909465,30.372726193422142,0.0,14,23,30,36,48,63,90,99,140,140,140
GET,//read/375,1,0,7.722700000158511,7.722700000158511,7.722700000158511,7.722700000158511,111.0,0.12499064277128454,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,//read/376,2,0,8.32520000039949,23.145150000345893,8.32520000039949,37.965100000292296,111.0,0.24998128554256907,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,//read/379,1,0,18.366700000115088,18.366700000115088,18.366700000115088,18.366700000115088,108.0,0.12499064277128454,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,//read/380,1,0,10.147900000447407,10.147900000447407,10.147900000447407,10.147900000447407,108.0,0.12499064277128454,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,//read/381,1,0,39.78509999978996,39.78509999978996,39.78509999978996,39.78509999978996,111.0,0.12499064277128454,0.0,40,40,40,40,40,40,40,40,40,40,40
