Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//create,327,0,92,193.3592746177681,7.612899999003275,1278.4848999999667,45.0,40.44727145253411,0.0,92,170,260,320,530,740,940,1000,1300,1300,1300
DELETE,//delete/10,1,0,188.96140000106243,188.96140000106243,188.96140000106243,188.96140000106243,45.0,0.12369196162854469,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,//delete/101,1,0,340.18769999966025,340.18769999966025,340.18769999966025,340.18769999966025,45.0,0.12369196162854469,0.0,340,340,340,340,340,340,340,340,340,340,340
DELETE,//delete/102,1,0,129.8082000012073,129.8082000012073,129.8082000012073,129.8082000012073,45.0,0.12369196162854469,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,//delete/107,1,0,267.03050000105577,267.03050000105577,267.03050000105577,267.03050000105577,45.0,0.12369196162854469,0.0,270,270,270,270,270,270,270,270,270,270,270
DELETE,//delete/11,1,0,10.900699999183416,10.900699999183416,10.900699999183416,10.900699999183416,45.0,0.12369196162854469,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/110,1,0,477.019999998447,477.019999998447,477.019999998447,477.019999998447,45.0,0.12369196162854469,0.0,480,480,480,480,480,480,480,480,480,480,480
DELETE,//delete/111,1,0,57.56639999890467,57.56639999890467,57.56639999890467,57.56639999890467,45.0,0.12369196162854469,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,//delete/112,1,0,17.060400001355447,17.060400001355447,17.060400001355447,17.060400001355447,45.0,0.12369196162854469,0.0,17,17,17,17,17,17,17,17,17,17,17
DELETE,//delete/114,1,0,12.988999998924555,12.988999998924555,12.988999998924555,12.988999998924555,45.0,0.12369196162854469,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,//delete/118,1,0,295.18610000013723,295.18610000013723,295.18610000013723,295.18610000013723,45.0,0.12369196162854469,0.0,300,300,300,300,300,300,300,300,300,300,300
DELETE,//delete/12,1,0,9.723400000439142,9.723400000439142,9.723400000439142,9.723400000439142,45.0,0.12369196162854469,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,//delete/120,1,0,188.0827999993926,188.0827999993926,188.0827999993926,188.0827999993926,45.0,0.12369196162854469,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,//delete/129,1,0,49.83560000073339,49.83560000073339,49.83560000073339,49.83560000073339,45.0,0.12369196162854469,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,//delete/132,1,0,62.92869999924733,62.92869999924733,62.92869999924733,62.92869999924733,45.0,0.12369196162854469,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,//delete/136,1,0,10.736700000052224,10.736700000052224,10.736700000052224,10.736700000052224,45.0,0.12369196162854469,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/139,1,0,25.889700000334415,25.889700000334415,25.889700000334415,25.889700000334415,45.0,0.12369196162854469,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,//delete/14,1,0,10.90470000053756,10.90470000053756,10.90470000053756,10.90470000053756,45.0,0.12369196162854469,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,//delete/144,1,0,137.07400000021153,137.07400000021153,137.07400000021153,137.07400000021153,45.0,0.12369196162854469,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,//delete/146,1,0,269.1845999997895,269.1845999997895,269.1845999997895,269.1845999997895,45.0,0.12369196162854469,0.0,270,270,270,270,270,270,270,270,270,270,270
DELETE,//delete/149,1,0,60.81290000111039,60.81290000111039,60.81290000111039,60.81290000111039,45.0,0.12369196162854469,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,//delete/15,1,0,10.146099999474245,10.146099999474245,10.146099999474245,10.146099999474245,45.0,0.12369196162854469,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,//delete/152,1,0,68.61140000000887,68.61140000000887,68.61140000000887,68.61140000000887,45.0,0.12369196162854469,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,//delete/153,1,0,127.21749999946041,127.21749999946041,127.21749999946041,127.21749999946041,45.0,0.12369196162854469,0.0,130,130,130,130,130,130,130,130,130,130,130
