timestamp,success,latency_ms,status_code
2025-11-14T15:23:24.799194,1,15.345,200
2025-11-14T15:23:24.799194,1,15.358,200
2025-11-14T15:23:24.799194,1,16.883,200
2025-11-14T15:23:24.799194,1,21.886,200
2025-11-14T15:23:24.799194,1,20.124,200
2025-11-14T15:23:24.799194,1,11.264,200
2025-11-14T15:23:24.799194,1,10.975,200
2025-11-14T15:23:24.819619,1,10.862,200
2025-11-14T15:23:24.819619,1,11.482,200
2025-11-14T15:23:24.819619,1,15.411,200
2025-11-14T15:23:24.819619,1,17.423,200
2025-11-14T15:23:24.819619,1,28.091,200
2025-11-14T15:23:24.819619,1,10.750,200
2025-11-14T15:23:24.831075,1,14.408,200
2025-11-14T15:23:24.837605,1,10.865,200
2025-11-14T15:23:24.837605,1,12.216,200
2025-11-14T15:23:24.837605,1,12.082,200
2025-11-14T15:23:24.837605,1,9.046,200
2025-11-14T15:23:24.847060,1,8.628,200
2025-11-14T15:23:24.849537,1,7.856,200
2025-11-14T15:23:24.849537,1,21.954,200
2025-11-14T15:23:24.849537,1,7.618,200
2025-11-14T15:23:24.849537,1,5.040,200
2025-11-14T15:23:24.863128,1,11.726,200
2025-11-14T15:23:24.863128,1,26.175,200
2025-11-14T15:23:24.863128,1,32.028,200
2025-11-14T15:23:24.863128,1,18.918,200
2025-11-14T15:23:24.863128,1,24.772,200
2025-11-14T15:23:24.878948,1,11.692,200
2025-11-14T15:23:24.878948,1,12.151,200
2025-11-14T15:23:24.878948,1,12.190,200
2025-11-14T15:23:24.878948,1,12.689,200
2025-11-14T15:23:24.878948,1,14.715,200
2025-11-14T15:23:24.878948,1,12.017,200
2025-11-14T15:23:24.894609,1,11.753,200
2025-11-14T15:23:24.894609,1,11.020,200
2025-11-14T15:23:24.894609,1,19.443,200
2025-11-14T15:23:24.894609,1,9.594,200
2025-11-14T15:23:24.894609,1,15.266,200
2025-11-14T15:23:24.894609,1,7.326,200
2025-11-14T15:23:24.910484,1,7.442,200
2025-11-14T15:23:24.910484,1,10.761,200
2025-11-14T15:23:24.910484,1,9.809,200
2025-11-14T15:23:24.910484,1,22.602,200
2025-11-14T15:23:24.910484,1,10.527,200
2025-11-14T15:23:24.927497,1,13.627,200
2025-11-14T15:23:24.928743,1,9.837,200
2025-11-14T15:23:24.928743,1,10.719,200
2025-11-14T15:23:24.931919,1,13.349,200
2025-11-14T15:23:24.937732,1,39.312,200
2025-11-14T15:23:24.941996,1,14.251,200
2025-11-14T15:23:24.941996,1,14.334,200
2025-11-14T15:23:24.946962,1,17.839,200
2025-11-14T15:23:24.949637,1,15.213,200
2025-11-14T15:23:24.949637,1,12.849,200
2025-11-14T15:23:24.954567,1,12.444,200
2025-11-14T15:23:24.958093,1,9.022,200
2025-11-14T15:23:24.961837,1,11.508,200
2025-11-14T15:23:24.961837,1,18.524,200
2025-11-14T15:23:24.961837,1,23.910,200
2025-11-14T15:23:24.970160,1,10.037,200
2025-11-14T15:23:24.976605,1,11.012,200
2025-11-14T15:23:24.978611,1,14.808,200
2025-11-14T15:23:24.978611,1,27.858,200
2025-11-14T15:23:24.983720,1,25.475,200
2025-11-14T15:23:24.993257,1,11.728,200
2025-11-14T15:23:24.993257,1,22.658,200
2025-11-14T15:23:24.993257,1,17.962,200
2025-11-14T15:23:24.998681,1,15.747,200
2025-11-14T15:23:25.005077,1,11.852,200
2025-11-14T15:23:25.005077,1,11.390,200
2025-11-14T15:23:25.005077,1,7.857,200
2025-11-14T15:23:25.010765,1,30.028,200
2025-11-14T15:23:25.013363,1,10.936,200
2025-11-14T15:23:25.018484,1,12.404,200
2025-11-14T15:23:25.018484,1,12.533,200
2025-11-14T15:23:25.024727,1,6.879,200
2025-11-14T15:23:25.024727,1,32.181,200
2025-11-14T15:23:25.028489,1,7.661,200
2025-11-14T15:23:25.036972,1,13.897,200
2025-11-14T15:23:25.036972,1,33.509,200
2025-11-14T15:23:25.036972,1,30.342,200
2025-11-14T15:23:25.036972,1,28.899,200
2025-11-14T15:23:25.052950,1,14.415,200
2025-11-14T15:23:25.057135,1,25.378,200
2025-11-14T15:23:25.057135,1,15.980,200
2025-11-14T15:23:25.057135,1,17.067,200
2025-11-14T15:23:25.057135,1,16.608,200
2025-11-14T15:23:25.069354,1,14.857,200
2025-11-14T15:23:25.069354,1,17.107,200
2025-11-14T15:23:25.079262,1,14.605,200
2025-11-14T15:23:25.079262,1,22.940,200
2025-11-14T15:23:25.079262,1,15.961,200
2025-11-14T15:23:25.086713,1,14.751,200
2025-11-14T15:23:25.086713,1,14.137,200
2025-11-14T15:23:25.086713,1,16.626,200
2025-11-14T15:23:25.086713,1,15.180,200
2025-11-14T15:23:25.100528,1,21.354,200
2025-11-14T15:23:25.100528,1,10.405,200
2025-11-14T15:23:25.100528,1,10.364,200
