timestamp,operation,execution_time_ms,memory_mb,network_latency_ms
2025-11-14T13:05:03.487460600+05:30,READ_ALL,1.08,888.0,184.13
2025-11-14T13:05:03.487636500+05:30,READ_ALL,0.9985,1592.0,184.13
2025-11-14T13:05:03.487435+05:30,READ_ALL,1.001,172.0,184.13
2025-11-14T13:05:03.492740+05:30,READ_ALL,1.0781,-492.0,184.13
2025-11-14T13:05:03.648847700+05:30,READ_ALL,0.8484,32.0,184.13
2025-11-14T13:05:03.890995800+05:30,READ_ALL,0.9183,-3824.0,184.13
2025-11-14T13:05:03.930808600+05:30,READ_ALL,2.6656,-2496.0,184.13
2025-11-14T13:05:03.930735200+05:30,READ_ALL,0.5403,-408.0,184.13
2025-11-14T13:05:03.934632400+05:30,READ_ALL,2.7873,-1808.0,184.13
2025-11-14T13:05:03.943272400+05:30,READ_ALL,2.7175,-3828.0,184.13
2025-11-14T13:05:04.098744+05:30,READ_ALL,1.0189000000000001,428.0,184.13
2025-11-14T13:05:04.189414900+05:30,READ_ALL,0.8018,-792.0,184.13
2025-11-14T13:05:04.206468200+05:30,READ_ALL,0.7891,1372.0,184.13
2025-11-14T13:05:04.206628200+05:30,READ_ALL,1.0406,-36.0,184.13
2025-11-14T13:05:04.220730300+05:30,READ_ALL,0.8603999999999999,-100.0,184.13
2025-11-14T13:05:04.311322200+05:30,READ_ALL,0.8035,2028.0,184.13
2025-11-14T13:05:04.414775700+05:30,READ_ALL,0.9412,1396.0,184.13
2025-11-14T13:05:04.434434800+05:30,READ_ALL,1.3055,-316.0,184.13
2025-11-14T13:05:04.481321100+05:30,READ_ALL,0.8337,-320.0,184.13
2025-11-14T13:05:04.508329100+05:30,READ_ALL,0.8406,-672.0,184.13
2025-11-14T13:05:04.636215300+05:30,READ_ALL,2.87,-764.0,184.13
2025-11-14T13:05:04.668092400+05:30,READ_ALL,0.7348,-332.0,184.13
2025-11-14T13:05:04.745275300+05:30,READ_ALL,0.6811999999999999,-680.0,184.13
2025-11-14T13:05:04.800697900+05:30,READ_ALL,0.8878,-308.0,184.13
2025-11-14T13:05:04.871336600+05:30,READ_ALL,0.7046,744.0,184.13
2025-11-14T13:05:04.880431100+05:30,READ_ALL,0.6585,-536.0,184.13
2025-11-14T13:05:05.005459200+05:30,READ_ALL,1.0706,468.0,184.13
2025-11-14T13:05:05.065626300+05:30,READ_ALL,1.0332,-1004.0,184.13
2025-11-14T13:05:05.118085800+05:30,READ_ALL,0.74,684.0,184.13
2025-11-14T13:05:05.148186400+05:30,READ_ALL,0.8996,28.0,184.13
2025-11-14T13:05:05.260398100+05:30,READ_ALL,0.8208,-332.0,184.13
2025-11-14T13:05:05.357070500+05:30,READ_ALL,0.7893,-16.0,184.13
2025-11-14T13:05:05.391441700+05:30,READ_ALL,0.9313,-284.0,184.13
2025-11-14T13:05:05.432227500+05:30,READ_ALL,0.9679000000000001,24.0,184.13
2025-11-14T13:05:05.454469600+05:30,READ_ALL,0.8044,-52.0,184.13
2025-11-14T13:05:05.588262300+05:30,READ_ALL,1.3136,736.0,184.13
2025-11-14T13:05:05.588768100+05:30,READ_ALL,0.9236,724.0,184.13
2025-11-14T13:05:05.624439200+05:30,READ_ALL,8.819600000000001,4.0,184.13
2025-11-14T13:05:05.667011300+05:30,READ_ALL,1.2888000000000002,-36.0,184.13
2025-11-14T13:05:05.767316400+05:30,READ_ALL,0.9366,324.0,184.13
2025-11-14T13:05:05.806847800+05:30,READ_ALL,1.0062,1428.0,184.13
2025-11-14T13:05:05.806819800+05:30,READ_ALL,1.1705,1080.0,184.13
2025-11-14T13:05:05.845058300+05:30,READ_ALL,1.1655,-16.0,184.13
2025-11-14T13:05:53.402766+05:30,READ_ALL,0.905,508.0,0.0
2025-11-14T13:05:53.602757200+05:30,READ_ALL,1.0747,392.0,210.15
2025-11-14T13:05:53.848435700+05:30,READ_ALL,3.7117999999999998,348.0,210.15
2025-11-14T13:05:53.857777900+05:30,READ_ALL,3.8008,-420.0,210.15
2025-11-14T13:05:53.857313600+05:30,READ_ALL,1.5807,348.0,210.15
2025-11-14T13:05:53.863016600+05:30,READ_ALL,1.3392,-1172.0,210.15
2025-11-14T13:05:54.105683800+05:30,READ_ALL,1.0722,-956.0,210.15
2025-11-14T13:05:54.113233900+05:30,READ_ALL,1.1542,1336.0,210.15
2025-11-14T13:05:54.113592200+05:30,READ_ALL,3.3017,1336.0,210.15
2025-11-14T13:05:54.113224800+05:30,READ_ALL,1.1678000000000002,1336.0,210.15
2025-11-14T13:05:54.314919900+05:30,READ_ALL,11.162,-1260.0,210.15
2025-11-14T13:05:54.314911400+05:30,READ_ALL,1.0447,-520.0,210.15
